OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       Cg        0.4330    
C2        C2        YES       Cg        0.2450    
C3        C3        YES       Cg        0.2520    
C4        C4        YES       Cg        0.3260    
C5        C5        YES       Cg        0.2760    
C6        C6        YES       Cg        0.2660    
O1        O7        YES       Os        -0.4580   
O3        O8        YES       Oh        -0.6960   
O4        O9        YES       Oh        -0.7330   
O5        O10       YES       Os        -0.5070   
O6        O11       YES       Oh        -0.6880   
H1        H12       YES       H2        0.0000    
H2        H13       YES       H1        0.0000    
H3        H14       YES       H1        0.0000    
H4        H15       YES       H1        0.0000    
H5        H16       YES       H1        0.0000    
H61       H17       YES       H1        0.0000    
H62       H18       YES       H1        0.0000    
H6        H19       YES       Ho        0.4220    
N3        N20       NO        NONE      NONE      
N4        N21       NO        NONE      NONE      
N5        N22       NO        NONE      NONE      
C6        C23       NO        NONE      NONE      
C7        C24       NO        NONE      NONE      
C8        C25       NO        NONE      NONE      
C9        C26       NO        NONE      NONE      
C10       C27       NO        NONE      NONE      
C11       C28       NO        NONE      NONE      
C12       C29       NO        NONE      NONE      
C13       C30       NO        NONE      NONE      
H19       H31       NO        NONE      NONE      
H20       H32       NO        NONE      NONE      
H21       H33       NO        NONE      NONE      
H22       H34       NO        NONE      NONE      
H23       H35       NO        NONE      NONE      
H24       H36       NO        NONE      NONE      
O1        O37       NO        NONE      NONE      
C2        C38       NO        NONE      NONE      
C3        C39       NO        NONE      NONE      
O4        O40       NO        NONE      NONE      
C5        C41       NO        NONE      NONE      
H8        H42       NO        NONE      NONE      
H9        H43       NO        NONE      NONE      
H10       H44       NO        NONE      NONE      
H11       H45       NO        NONE      NONE      
H12       H46       NO        NONE      NONE      
H13       H47       NO        NONE      NONE      
H14       H48       NO        NONE      NONE      
