OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
O2        O3        YES       Oh        -0.6390   
C3        C4        YES       Cg        0.0060    
C4        C5        YES       Cg        0.3320    
C5        C6        YES       Cg        0.3080    
C6        C7        YES       Cg        0.2200    
C7        C8        YES       Cg        0.1110    
C8        C9        YES       Cg        0.4920    
C9        C10       YES       Cg        0.1780    
C10       C11       YES       C         0.6320    
C11       C12       YES       Cg        -0.0030   
N5        N13       YES       Ng        -0.6290   
O1A       O14       YES       O2        -0.7610   
O1B       O15       YES       O2        -0.7610   
O4        O16       YES       Oh        -0.7620   
O6        O17       YES       Oy        -0.4030   
O7        O18       YES       Oh        -0.7210   
O8        O19       YES       Oh        -0.7390   
O9        O20       YES       Oh        -0.6890   
O10       O21       YES       O         -0.5930   
H31       H22       YES       Hc        0.0000    
H32       H23       YES       Hc        0.0000    
H4        H24       YES       H1        0.0000    
H5        H25       YES       H1        0.0000    
H6        H26       YES       H1        0.0000    
H7        H27       YES       H1        0.0000    
H8        H28       YES       H1        0.0000    
H91       H29       YES       H1        0.0000    
H92       H30       YES       H1        0.0000    
1H11      H31       YES       Hc        0.0000    
2H11      H32       YES       Hc        0.0000    
3H11      H33       YES       Hc        0.0000    
H5        H34       YES       H         0.2800    
H4        H35       YES       Ho        0.4150    
H7        H36       YES       Ho        0.4350    
H8        H37       YES       Ho        0.4120    
HO9       H38       YES       Ho        0.4080    
C3        C39       NO        NONE      NONE      
C4        C40       NO        NONE      NONE      
C5        C41       NO        NONE      NONE      
C6        C42       NO        NONE      NONE      
N7        N43       NO        NONE      NONE      
O8        O44       NO        NONE      NONE      
O9        O45       NO        NONE      NONE      
C10       C46       NO        NONE      NONE      
C11       C47       NO        NONE      NONE      
H17       H48       NO        NONE      NONE      
H18       H49       NO        NONE      NONE      
H19       H50       NO        NONE      NONE      
H20       H51       NO        NONE      NONE      
